107
102,20
67,100
92,90
35,93
14,86
98,8
85,103
88,104
67,98
58,84
95,34
90,71
72,26
40,75
67,15
24,41
92,47
55,80
13,77
13,6
19,63
26,33
87,104
4,8
41,20
2,72
45,55
20,86
70,103
5,6
6,84
21,32
86,33
106,77
86,45
80,88
71,86
86,4
14,41
95,71
102,42
36,37
104,32
85,92
80,71
78,71
24,68
84,66
91,13
6,5
57,19
5,22
100,97
15,48
51,70
64,32
3,74
104,69
105,106
100,85
73,47
68,86
62,33
84,67
30,55
67,70
79,99
18,57
23,69
64,23
96,5
101,61
77,63
39,103
63,36
20,6
78,11
37,88
23,34
33,97
17,76
71,90
35,42
16,14
27,102
59,50
29,94
103,16
57,43
45,18
64,105
103,90
51,62
9,103
15,88
13,35
5,32
42,9
40,52
36,12
11,98
92,100
95,8
46,59
10,98
71,88
90,63
