106035
16492,34710
33125,15405
19826,100289
101682,433
33711,76984
73704,73314
57483,96669
32633,41500
49872,59465
15950,98210
23462,88154
13088,33548
58394,93036
38278,20934
654,84238
5437,36274
33552,21837
3319,6413
65903,79726
42407,81568
1043,47274
58810,79817
102820,86666
9070,76894
35609,59500
36049,81254
4746,21850
30502,63594
105152,83998
59009,40809
954,35738
38986,83042
61897,35957
105968,36172
1646,10793
11794,48787
39380,99686
88805,96427
101639,8525
52175,28176
82689,83317
41853,98406
61337,31449
59570,54001
20144,41914
68150,51862
58556,103789
35792,93564
18578,34995
29224,82538
88137,14433
87281,32307
62670,47287
94026,25979
74202,71562
86091,30610
4796,28539
46365,6919
24503,8609
105893,3116
104652,67386
74234,10683
73590,85825
80000,90244
56520,27651
21600,40051
67330,22533
19212,4917
69824,38212
55086,46362
1410,76592
59906,77330
61757,19617
72074,46815
32258,99355
79990,28360
25881,20473
68627,89008
41922,89518
56122,91280
37982,40561
67290,47550
59342,79918
51581,78623
31505,20910
55163,16376
67590,32301
70886,83393
1199,60402
15619,83562
73678,27681
37926,68276
65632,46968
89356,8499
67203,7951
58148,43786
18131,65693
103393,4340
27311,99000
22313,57742
59436,35810
29619,81211
95256,17302
97300,91495
7539,27167
42598,92169
93744,104230
52360,105404
4187,26279
20086,84677
54885,43918
83611,49919
56428,19483
33730,57498
75298,56759
40099,2095
87607,64044
13666,12128
59528,68077
85423,69557
26453,73779
76820,67022
25159,96847
55001,91526
5408,70883
41484,24094
31909,59611
12541,43517
102431,101522
100582,37065
64296,76672
58213,104956
27207,19509
9826,74955
52755,70645
22230,73898
96047,87973
83180,99600
87316,56440
52721,23328
93377,55935
49747,11780
76148,59985
86315,50524
28146,101204
6894,56279
15104,86992
72819,84502
30780,38136
94727,85942
53123,12620
15774,16975
5155,35893
26509,57867
34142,71794
75941,61023
19350,44389
98162,10478
72125,33092
11615,66065
70760,96426
64959,16198
7206,58429
74533,80176
10310,21913
5126,28178
32468,96572
86021,26082
62159,56139
99086,7755
93236,12550
41648,91912
20617,9938
17428,5450
39135,58980
172,9898
81080,74593
51191,7249
43835,72173
85617,22883
97261,5388
86559,2394
13117,40325
70203,9480
12297,39613
510,83819
83020,95954
1206,72788
71558,68774
14198,15868
89562,85773
98394,75872
87741,1690
97095,1602
33231,91591
24496,79
15305,119
74045,45112
15077,24747
77593,69961
71568,88516
68763,63956
19468,2247
67948,80909
36561,101466
100176,5075
6274,49657
103628,90537
82702,4292
5831,64111
45352,30115
3,16769
18833,27983
55782,6411
8910,88368
43511,63663
69483,105789
87345,95857
7857,39734
16882,78378
21574,78812
35133,102968
17369,35200
83762,80660
60691,63403
90323,67721
46521,46666
73660,36427
74581,599
39516,58676
72459,5475
34970,62651
28762,43842
70360,5944
6107,14965
67411,44294
13317,44008
75577,59723
32472,7213
36556,64822
25862,5721
48416,50994
33502,25189
100138,81293
17925,73245
16283,399
51090,62656
72040,82196
28653,38451
89126,77963
19428,61509
11956,40397
89809,17756
93312,83330
48381,21810
105361,101421
21908,56070
36769,104512
18159,58124
44190,36050
97524,101026
35282,47082
89548,50459
102217,79469
500,15383
5249,89075
97946,102090
99565,83618
96049,16817
94477,3997
58005,80823
77688,5601
15121,56832
22731,75711
72907,17617
95676,102421
68415,23130
66098,25216
53382,43150
6949,99835
92092,23951
71774,48799
11536,96161
67695,40608
56505,91432
92289,62168
51947,77022
45423,71778
